活动区域,子区域,日期,时段,客流量,age（0-25）,age（26-44）,age（45-60+）,首次到访占比,男性客流量,女性客流量,驻留时长1,驻留时长2,驻留时长3,驻留时长4,是否活动时间
 无锡映月湖     ,映月湖中央公园,20240429,11,3948,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240429,15,3989,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240429,19,5322,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240429,22,2336,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240429,4,318,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240429,8,5508,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240430,13,3881,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240430,17,6521,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240430,2,440,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240430,20,4193,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240430,6,2719,,,,,,,,,,,0
 无锡映月湖     ,映月湖中央公园,20240501,10,5066,2259,20003,10256,0.69,19956,12626,990,546,362,128,1
 无锡映月湖     ,映月湖中央公园,20240501,14,5627,2259,20003,10256,0.69,19956,12626,990,546,362,128,1
 无锡映月湖     ,映月湖中央公园,20240501,18,6237,2259,20003,10256,0.69,19956,12626,990,546,362,128,1
 无锡映月湖     ,映月湖中央公园,20240501,21,5160,2259,20003,10256,0.69,19956,12626,990,546,362,128,1
 无锡映月湖     ,映月湖中央公园,20240501,3,436,2259,20003,10256,0.69,19956,12626,990,546,362,128,1
 无锡映月湖     ,映月湖中央公园,20240501,7,2551,2259,20003,10256,0.69,19956,12626,990,546,362,128,1
 无锡映月湖     ,映月湖中央公园,20240502,0,1161,1847,18503,9686,0.64,18533,11554,857,549,388,145,1
 无锡映月湖     ,映月湖中央公园,20240502,11,4546,1847,18503,9686,0.64,18533,11554,857,549,388,145,1
 无锡映月湖     ,映月湖中央公园,20240502,15,4873,1847,18503,9686,0.64,18533,11554,857,549,388,145,1
 无锡映月湖     ,映月湖中央公园,20240502,19,6610,1847,18503,9686,0.64,18533,11554,857,549,388,145,1
 无锡映月湖     ,映月湖中央公园,20240502,22,2702,1847,18503,9686,0.64,18533,11554,857,549,388,145,1
 无锡映月湖     ,映月湖中央公园,20240502,4,545,1847,18503,9686,0.64,18533,11554,857,549,388,145,1
 无锡映月湖     ,映月湖中央公园,20240502,8,3749,1847,18503,9686,0.64,18533,11554,857,549,388,145,1
 无锡映月湖     ,映月湖中央公园,20240503,1,646,1828,17806,9529,0.62,18080,11120,864,501,380,133,1
 无锡映月湖     ,映月湖中央公园,20240503,12,4446,1828,17806,9529,0.62,18080,11120,864,501,380,133,1
 无锡映月湖     ,映月湖中央公园,20240503,16,5101,1828,17806,9529,0.62,18080,11120,864,501,380,133,1
 无锡映月湖     ,映月湖中央公园,20240503,23,2128,1828,17806,9529,0.62,18080,11120,864,501,380,133,1
 无锡映月湖     ,映月湖中央公园,20240503,5,706,1828,17806,9529,0.62,18080,11120,864,501,380,133,1
 无锡映月湖     ,映月湖中央公园,20240503,9,4564,1828,17806,9529,0.62,18080,11120,864,501,380,133,1
 无锡映月湖     ,映月湖中央公园,20240504,13,4050,1562,15385,8123,0.6,15807,9310,579,347,291,112,1
 无锡映月湖     ,映月湖中央公园,20240504,17,4750,1562,15385,8123,0.6,15807,9310,579,347,291,112,1
 无锡映月湖     ,映月湖中央公园,20240504,2,476,1562,15385,8123,0.6,15807,9310,579,347,291,112,1
 无锡映月湖     ,映月湖中央公园,20240504,20,4038,1562,15385,8123,0.6,15807,9310,579,347,291,112,1
 无锡映月湖     ,映月湖中央公园,20240504,6,1574,1562,15385,8123,0.6,15807,9310,579,347,291,112,1
 无锡映月湖     ,映月湖中央公园,20240505,10,3751,1804,16209,8971,0.63,15807,9310,559,331,228,117,1
 无锡映月湖     ,映月湖中央公园,20240505,14,4274,1804,16209,8971,0.63,15807,9310,559,331,228,117,1
 无锡映月湖     ,映月湖中央公园,20240505,18,5135,1804,16209,8971,0.63,15807,9310,559,331,228,117,1
 无锡映月湖     ,映月湖中央公园,20240505,21,3257,1804,16209,8971,0.63,15807,9310,559,331,228,117,1
 无锡映月湖     ,映月湖中央公园,20240505,3,312,1804,16209,8971,0.63,15807,9310,559,331,228,117,1
 无锡映月湖     ,映月湖中央公园,20240505,7,2897,1804,16209,8971,0.63,15807,9310,559,331,228,117,1
 无锡映月湖     ,映月湖公园,20240424,13,7308,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240424,17,12583,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240424,2,809,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240424,20,9177,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240424,6,4392,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240425,10,5008,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240425,14,6833,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240425,18,10171,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240425,21,6012,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240425,3,815,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240425,7,9921,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240426,0,1696,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240426,11,7478,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240426,15,9029,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240426,19,10505,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240426,22,4639,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240426,4,599,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240426,8,10025,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240427,1,1135,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240427,12,8396,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240427,16,9839,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240427,23,2847,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240427,5,1310,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240427,9,7518,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240428,13,6512,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240428,17,12575,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240428,2,654,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240428,20,7783,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240428,6,4223,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240429,10,6533,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240429,14,6947,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240429,18,10815,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240429,21,6421,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240429,3,790,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240429,7,11341,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240430,1,968,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240430,12,7132,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240430,16,10582,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240430,23,3659,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240430,5,1495,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240430,9,6883,,,,,,,,,,,0
 无锡映月湖     ,映月湖公园,20240501,13,9666,3646,31124,15884,0.64,30679,20070,4172,2591,1684,564,1
 无锡映月湖     ,映月湖公园,20240501,17,10521,3646,31124,15884,0.64,30679,20070,4172,2591,1684,564,1
 无锡映月湖     ,映月湖公园,20240501,2,915,3646,31124,15884,0.64,30679,20070,4172,2591,1684,564,1
 无锡映月湖     ,映月湖公园,20240501,20,12844,3646,31124,15884,0.64,30679,20070,4172,2591,1684,564,1
 无锡映月湖     ,映月湖公园,20240501,6,2678,3646,31124,15884,0.64,30679,20070,4172,2591,1684,564,1
 无锡映月湖     ,映月湖公园,20240502,10,8597,2962,14905,29029,0.58,28495,18488,3524,2297,1582,599,1
 无锡映月湖     ,映月湖公园,20240502,14,9046,2962,14905,29029,0.58,28495,18488,3524,2297,1582,599,1
 无锡映月湖     ,映月湖公园,20240502,18,10727,2962,14905,29029,0.58,28495,18488,3524,2297,1582,599,1
 无锡映月湖     ,映月湖公园,20240502,21,7929,2962,14905,29029,0.58,28495,18488,3524,2297,1582,599,1
